task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Have the most exciting thumb war with Alex,"Contestants were required to engage in a thumb war with Alex Horne and make it as exciting as possible within 20 minutes. This involved creative presentation, use of props, costumes, and narrative elements to enhance the excitement of the thumb war.","Taskmaster house, specifically in the lab area.","['human thumb costumes', 'condiments (custard and mustard)', 'boxing gloves on poles', 'thematic costumes like a bishop and a pigeon bride']","['Task had to be completed within 20 minutes', 'Alex Horne was the thumb war opponent', 'No restrictions on how the war could be presented']","['Performance-based', 'Creative presentation', 'Timed task', 'Humorous']","['Creativity and originality', 'Theatrical skills', 'Quick thinking', 'Physical dexterity (for the thumb war)']",Performance-based,solo,['Involved acting and storytelling as contestants created narratives around their thumb wars'],Alex served as the thumb war opponent and played along with the contestants' creative setups.,17,6,3172,8,9,3,2,9,5,2,2,17_6_3172,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,4,3,10,5,3,2
Make the most moves on the movement circles,Contestants were in teams and had to perform a sequence of moves on movement circles. One teammate flipped a bottle; a successful flip allowed the other teammate to place a dart anywhere on the dartboard. Darts thrown at dartboards determined moves; hitting a bullseye gave free choice of move. The objective was to perform the longest sequence of moves on the circles without failing.,Taskmaster studio,"['Movement circles on the floor (similar to a Twister mat)', 'Two dartboards', 'A bottle for flipping', 'Darts for the dartboards']","['Bottle flip must be successful for a dart to count', 'Moves must be performed in sequence without error', 'Bullseye or successful bottle flip allows for strategic advantage in move selection']","['Physical', 'Strategy', 'Skill-based', 'Teamwork']","['Precision in bottle flipping', 'Accuracy in dart throwing', 'Balance and flexibility to perform moves', 'Team coordination and communication']",Physical-based with elements of strategy and skill,group,[],"Alex Horne facilitated the task, provided instructions, and monitored rules compliance.",17,6,3173,7,6,7,8,9,5,3,6,17_6_3173,Taskmaster UK,Lab,Inside House,Physical,Group,8,7,6,5,9,4,3,6
Create a portrait of another contestant using the contents of a hamper,Contestants were given a hamper prepared by another contestant and tasked with creating a portrait of that contestant using only the items within their specific hamper. They had to complete this within 15 minutes.,"Indoors, specifically in the Taskmaster house, a common setting for creative tasks.","['Foodstuffs', 'Decorative objects', 'Miscellaneous props']","['Use only the contents of the hamper.', 'Create a portrait of the contestant who prepared the hamper.', 'Complete the task within 15 minutes.']","['Art', 'Time-based', 'Creativity', 'Prop-based']","['Creativity in using unconventional materials.', 'Observational skills to capture recognizable features.', 'Quick thinking and time management.', 'Humor and lateral thinking.']",artistic,solo,['Involved crafting and some performance in explaining their portraits.'],"Taskmaster's assistant, overseeing the task and ensuring rules were followed.",17,6,3174,7,9,3,5,8,8,2,4,17_6_3174,Taskmaster UK,Lounge,Inside House,Creative,Solo,8,9,3,4,8,7,9,2
Completely cover your team-mate in rubber rings,"The task involved teams trying to completely cover their teammate, who stood on a marked spot, with inflatable rubber rings. The catchers had to face the Taskmaster with their hands above their heads, while throwers tossed rings from behind a white line.",This task took place on stage in the studio as the final live segment of the episode.,"['Two stacks of inflatable watermelon-themed rubber rings (six large and seven smaller rings per team)', 'Marked gold circles on stage for catchers', 'A white line for throwers to stay behind']","['Catchers had to face the Taskmaster at all times with hands above their heads', 'Throwers had to stay behind the white line', 'The first team to completely cover their teammate with rings would win', 'Stepping over the line could lead to disqualification']","['Physical', 'Team-based', 'Coordination', 'Stage performance', 'Competitive']","['Coordination between team members', 'Accuracy in throwing', 'Strategic thinking to adjust within constraints', 'Spatial awareness', 'Teamwork']",Physical,Group,[],"Alex Horne managed the task setup, explained the rules, and served as timekeeper and referee.",17,6,3175,7,4,6,5,8,6,2,3,17_6_3175,Taskmaster UK,Stage,Studio/Stage,Physical,Group,8,7,6,4,9,5,3,2
The Snazziest Hollow Thing,Contestants were instructed to bring in the 'snazziest hollow thing' as their prize entry to be judged by Greg Davies. The task required contestants to interpret 'snazziest' in their own creative way and present their chosen item in the studio.,Studio,[],"['The item had to be hollow.', ""Contestants had to interpret what 'snazziest' meant."", 'Items were presented in the studio as part of the prize round.']","['Creative Interpretation', 'Presentation', 'Prize Task', 'Humor-Based', 'Studio Task']","['Lateral Thinking', 'Showmanship', 'Persuasiveness', 'Humor', 'Creativity']",Performance-Based,Solo,"['Humor', 'Creative interpretation']",Alex assisted Greg in judging and provided commentary.,17,7,3192,6,9,1,1,8,2,9,2,17_7_3192,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,3,8,4,3,2
Figure out what you’ve caught,The contestants were required to determine what they had 'caught' based on the available evidence. The task was staged with a wellington boot and used a fishing theme to mislead or guide the contestants.,Studio (stage),"['A wellington boot (with the task brief inside)', 'Fishing rod and string', 'Various objects and potential red herrings placed around the stage']","['Contestants could only give one answer.', 'The task was time-sensitive, with the fastest correct answer winning.']","['Mental', 'Time-based', 'Deductive reasoning', 'Studio-based']","['Observation', 'Deductive reasoning', 'Lateral thinking', 'Quick decision-making']",Mental,Solo,['Incorporation of misdirection and theme (fishing)'],"Alex Horne acted as the facilitator, providing instructions, pausing the clock for adjustments, and interacting with contestants during their attempts.",17,7,3193,7,6,2,3,8,9,1,4,17_7_3193,Taskmaster UK,Lab,Inside House,Problem-solving,Solo,8,7,2,4,9,5,6,3
Perform a recognisable piece of classical music,"Contestants were tasked with performing a piece of classical music that was recognisable without using any musical instruments. They were not allowed to hum, sing, whistle, or use similar vocalizations. The goal was to deliver the most accomplished performance.",The task took place in the living room of the Taskmaster house.,[],"['No musical instruments allowed.', 'No vocalizations like humming, singing, or whistling.', 'Maximum time: 30 minutes.', 'Aim: Deliver a recognisable and accomplished performance.']","['Performance-based', 'Creative', 'Interpretation', 'Time-based']","['Creativity', 'Physical expression and mime', 'Musical understanding', 'Performance skills', 'Improvisation']",Performance-based,solo,['Involved acting and mime to represent music'],"Alex observed and facilitated the task, providing instructions and insights but did not participate.",17,7,3194,8,9,6,7,9,6,2,3,17_7_3194,Taskmaster UK,Lounge,Inside House,Performance-based,Solo,8,9,4,6,8,3,3,2
Get the most orange juice in the vase,"Contestants were required to extract as much juice as possible from oranges into a vase. They could only use three specific items that they had chosen in an earlier task: a piece of kitchen equipment, a body part, and a gardening tool.",Taskmaster lab or kitchen area,"['Oranges', 'A vase', 'The three chosen items from Part 1: kitchen equipment, body part, and gardening tool']","['Only the chosen items may touch the oranges.', 'Contestants had five minutes to complete the task.']","['Food-related', 'Physical', 'Time-based', 'Problem-solving', 'Creativity']","['Quick thinking and adaptability', 'Physical dexterity', 'Problem-solving and improvisation', 'Efficient time management']",Physical and problem-solving,Solo,"['The task involved elements of performance, given the humorous and creative approaches contestants used.']",Alex Horne was present to oversee the task and ensure rules were followed.,17,7,3195,8,8,6,5,9,7,2,5,17_7_3195,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,6,5,9,8,4,3
Paint a face on your ball,"The contestants were required to paint an attractive face on a ball using only the provided tools. They were not allowed to touch the ball directly with their hands, and they needed to wear helmets throughout the task.",Taskmaster studio,"['Balls', 'Painting tools']","['Contestants could only touch the ball with their tools.', 'Helmets had to be worn at all times.', 'Time limit of 200 seconds (3 minutes and 20 seconds).']","['Art', 'Time-based', 'Creative', 'Performance-based', 'Studio task']","['Artistic ability', 'Creativity', 'Dexterity', 'Spatial awareness', 'Time management']",artistic,solo,"['Involved artistic performance, with potential comedic elements due to the helmet constraint']","Alex Horne was present as the task facilitator, ensuring rules were followed and providing comedic commentary.",17,7,3196,6,8,3,5,7,9,2,3,17_7_3196,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,6,7,5,3,2
The thing that Greg would most like to squeeze,"Contestants were asked to bring in an item that Greg Davies, the Taskmaster, would most like to squeeze in his 'mighty hands.' The task was a prize task, meaning contestants had to bring an item from home that they believed would appeal to Greg's desire to squeeze it.",This task took place in the studio where Taskmaster episodes are typically recorded.,[],"['The item had to be something that Greg would want to squeeze.', 'Contestants had to interpret what Greg might find appealing to squeeze.']","['Creative', 'Humorous', 'Personal', 'Imaginative', 'Presentation-based']","['Creativity', 'Humor', ""Insight into Greg's preferences"", 'Persuasiveness', 'Presentation skills']",performance,solo,['Involved humor and creativity in presenting items.'],"Alex served as the task introducer and facilitator, maintaining the flow of the studio task.",17,8,3202,7,8,1,1,9,2,9,3,17_8_3202,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,8,9,2,3,10,4,3,2
